Year, State, Pollutant, Yearly Toal Max 8-hour Pollutant Concentration, Yearly Total Pollutant AQI VALUE, Yearly Total Pollutant OBS COUNT, Yearly Average Percent Complete
2007,1,Carbon monoxide,1097.6,12376,23779,99.87802419
2007,2,Carbon monoxide,1355.3,15417,24677,99.72744908
2007,4,Carbon monoxide,4402.8,50114,130493,99.67296059
2007,6,Carbon monoxide,15259.9,171400,569112,99.48510656
2007,8,Carbon monoxide,2246.1,25542,77741,99.69836873
2007,9,Carbon monoxide,859.7,9709,21255,99.61979753
2007,10,Carbon monoxide,291,3157,16876,99.59773371
2007,11,Carbon monoxide,783,8908,17174,99.94134078
2007,12,Carbon monoxide,4301.7,48730,160805,99.70535714
2007,13,Carbon monoxide,578.3,6549,25332,99.66855524
2007,15,Carbon monoxide,310.6,3403,17050,99.63814867
2007,16,Carbon monoxide,201.8,2296,6135,99.8515625
2007,17,Carbon monoxide,1794.2,20406,68780,99.78481894
2007,18,Carbon monoxide,1615.1,18273,59494,99.83568264
2007,19,Carbon monoxide,154.6,1750,7801,99.70552147
2007,20,Carbon monoxide,583.8,6593,22743,99.85458377
2007,21,Carbon monoxide,563.2,6420,16871,99.70921986
2007,22,Carbon monoxide,184,2101,8297,99.62824207
2007,23,Carbon monoxide,178.2,1793,19438,98.89133089
2007,24,Carbon monoxide,520.5,5946,16945,99.58392102
2007,25,Carbon monoxide,827.8,9257,42857,99.70407594
2007,26,Carbon monoxide,301.8,3297,18520,99.31274131
2007,27,Carbon monoxide,1138.3,12495,60653,99.73164957
2007,29,Carbon monoxide,768.5,8592,34776,99.86147484
2007,30,Carbon monoxide,1094.7,12375,38332,99.70162297
2007,31,Carbon monoxide,419.8,4786,14892,99.75723473
2007,32,Carbon monoxide,4125.8,46726,112241,99.58858603
2007,33,Carbon monoxide,447.7,5123,16917,99.5579096
2007,34,Carbon monoxide,1962.6,22271,85521,99.64709172
2007,35,Carbon monoxide,1390.9,15538,61574,98.11395794
2007,36,Carbon monoxide,1577.9,17754,75449,99.42156863
2007,37,Carbon monoxide,1548.7,17489,57386,99.42245322
2007,39,Carbon monoxide,2796.7,31632,117949,99.72646104
2007,40,Carbon monoxide,644.5,7050,33459,99.58
2007,41,Carbon monoxide,1215,13826,34313,99.90915444
2007,42,Carbon monoxide,3804.6,41874,196450,99.7844691
2007,44,Carbon monoxide,258.3,2837,11922,97.0234375
2007,45,Carbon monoxide,626.4,6991,33726,99.45152159
2007,47,Carbon monoxide,1104.5,12524,43444,99.29786067
2007,48,Carbon monoxide,4293.9,48197,184759,99.66675298
2007,49,Carbon monoxide,1533,17536,37998,99.88895899
2007,50,Carbon monoxide,378.7,4314,15738,99.05589124
2007,51,Carbon monoxide,1585.5,17641,77301,99.8097304
2007,53,Carbon monoxide,817.2,9328,16812,99.6458037
2007,54,Carbon monoxide,495.4,5451,25611,99.917603
2007,55,Carbon monoxide,10.7,112,739,99.32258065
2007,56,Carbon monoxide,108.5,1088,8635,99.94166667
2007,72,Carbon monoxide,879.2,9998,15606,99.73159509
2008,1,Carbon monoxide,1163.9,13132,25271,99.8056872
2008,2,Carbon monoxide,1238.9,14096,20971,99.74657534
